"Title","Code"
"Amphitheatre","amp"
"Angelo 1","a1"
"Angelo 2","a2"
"Angelo 3","a3"
"Angelo 4","a4"
"Angelo 5","a5"
"Angelo 6","a6"
"Angelo 7","a7"
"Angelo 8","a8"
"Angelo Lockers","al"
"Assisi Centre","as"
"Bus Shelter","bs"
"Eco Science","es"
"Elizabeth 1","e1"
"Elizabeth 2","e2"
"Elizabeth 3","e3"
"Elizabeth Lockers","el"
"Greccio 1","g1"
"Greccio 2","g2"
"Greccio 3","g3"
"Greccio 4","g4"
"Greccio 5","g5"
"Greccio 6","g6"
"Greccio 7","g7"
"Greccio 8","g8"
"La Verna","lv"
"Learning Common","lc"
"Leo 1","l1"
"Leo 2","l2"
"Leo 3","l3"
"Leo 4","l4"
"Leo 5","l5"
"Leo 6","l6"
"Leo 7","l7"
"Leo 8","l8"
"Leo Lockers","ll"
"Online","o"
"Otto Road House","orh"
"Out of School Hours","osh"
"Padua Oval","po"
"Piazza","p"
"Piazza Tuckshop","t"
"Piazza Uniform Shop","us"
"Pick Up","pu"
"Rieti 1","r1"
"Rieti 2","r2"
"Rieti 5","r5"
"Rieti 6","r6"
"Rieti 7","r7"
"Rieti Lockers","rl"
"Spoleto 1","s1"
"Spoleto 2","s2"
"Spoleto 3","s3"
"Spoleto 4","s4"
"Spoleto 5","s5"
"Spoleto 6","s6"
"Bonaventure 8","b8"
"Bonaventure 9","b9"
"Bonaventure 13","b13"
